area.code,name,date,population,cases,deaths,new.cases,new.deaths,new.cases.7dma,new.deaths.7dma,new.cases.7dma.100k,new.deaths.7dma.100k
MID,Midlands,2020-02-21,4835928.2500592,1,NA,1,0,0,0,NA,NA
MID,Midlands,2020-02-22,4835928.2500592,1,NA,0,0,0,0,NA,NA
MID,Midlands,2020-02-23,4835928.2500592,1,NA,0,0,0,0,NA,NA
MID,Midlands,2020-02-24,4835928.2500592,1,NA,0,0,0,0,NA,NA
MID,Midlands,2020-02-25,4835928.2500592,2,NA,1,0,0,0,NA,NA
MID,Midlands,2020-02-26,4835928.2500592,2,NA,0,0,0,0,NA,NA
MID,Midlands,2020-02-27,4835928.2500592,2,NA,0,0,0.2857142857142857,0,0.005908158081352593,NA
MID,Midlands,2020-02-28,4835928.2500592,3,NA,1,0,0.2857142857142857,0,0.005908158081352593,NA
MID,Midlands,2020-02-29,4835928.2500592,4,NA,1,0,0.42857142857142855,0,0.008862237122028889,NA
MID,Midlands,2020-03-01,10769998.456679951,7,NA,3,0,0.5714285714285714,0,NA,NA
MID,Midlands,2020-03-02,10769998.456679951,13,NA,6,0,0.8571428571428571,0,NA,NA
MID,Midlands,2020-03-03,10769998.456679951,21,NA,8,1,1.7142857142857142,0,NA,NA
MID,Midlands,2020-03-04,10769998.456679951,26,NA,5,0,2,0,NA,NA
MID,Midlands,2020-03-05,10769998.456679951,35,NA,9,0,2.4285714285714284,0,NA,NA
MID,Midlands,2020-03-06,10769998.456679951,44,NA,9,0,3.2857142857142856,0,NA,NA
MID,Midlands,2020-03-07,10769998.456679951,55,NA,11,0,7.285714285714286,0,0.06764823890197882,NA
MID,Midlands,2020-03-08,10769998.456679951,60,2,5,1,7.571428571428571,0,0.0703011110157819,NA
MID,Midlands,2020-03-09,10769998.456679951,78,2,18,0,9.285714285714285,0.14285714285714285,0.08621834369860046,NA
MID,Midlands,2020-03-10,10769998.456679951,107,3,29,1,12.285714285714285,0,0.11407350089353292,NA
MID,Midlands,2020-03-11,10769998.456679951,161,4,54,1,19.285714285714285,0,0.17906886768170865,NA
MID,Midlands,2020-03-12,10769998.456679951,225,9,64,5,27.142857142857142,0.14285714285714285,0.2520228508112936,NA
MID,Midlands,2020-03-13,10769998.456679951,286,13,61,4,34.57142857142857,0.2857142857142857,0.320997525770174,NA
MID,Midlands,2020-03-14,10769998.456679951,336,17,50,4,40.14285714285714,2.2857142857142856,0.37272853198933426,0.021222976910424726
MID,Midlands,2020-03-15,10769998.456679951,406,21,70,4,49.42857142857143,2.714285714285714,0.45894687568793485,0.025202285081129365
MID,Midlands,2020-03-16,10769998.456679951,496,34,90,13,59.71428571428571,4.571428571428571,0.554450271784846,0.042445953820849466
MID,Midlands,2020-03-17,10769998.456679951,597,43,101,9,70,5.714285714285714,0.6499536678817573,0.05305744227606183
MID,Midlands,2020-03-18,10769998.456679951,744,55,147,12,83.28571428571428,7.285714285714286,0.773312221173601,0.06764823890197882
MID,Midlands,2020-03-19,10769998.456679951,933,67,189,12,101.14285714285714,8.285714285714285,0.9391167282862941,0.07693329130028964
MID,Midlands,2020-03-20,10769998.456679951,1138,90,205,23,121.71428571428572,11,1.130123520480117,0.10213557638141901
MID,Midlands,2020-03-21,10769998.456679951,1332,107,194,17,142.28571428571428,12.857142857142858,1.3211303126739393,0.1193792451211391
MID,Midlands,2020-03-22,10769998.456679951,1542,141,210,34,162.28571428571428,17.142857142857142,1.506831360640156,0.15917232682818544
MID,Midlands,2020-03-23,10769998.456679951,1898,179,356,38,200.28571428571428,20.714285714285715,1.8596633517759669,0.1923332282507241
MID,Midlands,2020-03-24,10769998.456679951,2283,218,385,39,240.85714285714286,25,2.236371191936006,0.23212630995777048
MID,Midlands,2020-03-25,10769998.456679951,2639,269,356,51,270.7142857142857,30.57142857142857,2.5135963278284286,0.2838573161769307
MID,Midlands,2020-03-26,10769998.456679951,3109,338,470,69,310.85714285714283,38.714285714285715,2.8863248598177633,0.35946417142031883
MID,Midlands,2020-03-27,10769998.456679951,3525,413,416,75,341,46.14285714285714,3.1662028678239893,0.4284388463791992
MID,Midlands,2020-03-28,10769998.456679951,4003,507,478,94,381.57142857142856,57.14285714285714,3.5429107079840287,0.5305744227606182
MID,Midlands,2020-03-29,10769998.456679951,4497,603,494,96,422.14285714285717,66,3.9196185481440673,0.6128134582885141
MID,Midlands,2020-03-30,10769998.456679951,5134,703,637,100,462.2857142857143,74.85714285714286,4.292347080133401,0.6950524938164099
MID,Midlands,2020-03-31,10769998.456679951,5826,831,692,128,506.14285714285717,87.57142857142857,4.699562949602176,0.8131053028806475
MID,Midlands,2020-04-01,10769998.456679951,6535,983,709,152,556.5714285714286,102,5.167794877688422,0.9470753446277035
MID,Midlands,2020-04-02,10769998.456679951,7195,1146,660,163,583.7142857142858,115.42857142857143,5.419817728499715,1.0717603339764488
MID,Midlands,2020-04-03,10769998.456679951,7822,1285,627,139,613.8571428571429,124.57142857142858,5.699695736505941,1.1566522416181477
MID,Midlands,2020-04-04,10769998.456679951,8356,1445,534,160,621.8571428571429,134,5.773976155692428,1.2441970213736497
MID,Midlands,2020-04-05,10769998.456679951,8795,1623,439,178,614,145.71428571428572,5.701022172562843,1.3529647780395762
MID,Midlands,2020-04-06,10769998.456679951,9367,1791,572,168,604.7142857142858,155.42857142857144,5.614803828864243,1.4431624299088814
MID,Midlands,2020-04-07,10769998.456679951,9978,1939,611,148,593.1428571428571,158.28571428571428,5.507362508255217,1.4696911510469126
MID,Midlands,2020-04-08,10769998.456679951,10527,2140,549,201,570.2857142857142,165.28571428571428,5.295132739150969,1.5346865178350881
MID,Midlands,2020-04-09,10769998.456679951,11105,2302,578,162,558.5714285714286,165.14285714285714,5.186364982485043,1.5333600817781867
MID,Midlands,2020-04-10,10769998.456679951,11639,2463,534,161,545.2857142857142,168.28571428571428,5.063006429193199,1.5625416750300207
MID,Midlands,2020-04-11,10769998.456679951,12064,2636,425,173,529.7142857142858,170.14285714285714,4.918424898990931,1.5797853437697407
MID,Midlands,2020-04-12,10769998.456679951,12518,2799,454,163,531.8571428571429,168,4.9383214398444535,1.5598888029162175
MID,Midlands,2020-04-13,10769998.456679951,12969,2943,451,144,514.5714285714286,164.57142857142858,4.777822676959366,1.5280543375505804
MID,Midlands,2020-04-14,10769998.456679951,13500,3085,531,142,503.1428571428571,163.71428571428572,4.671707792407243,1.5200957212091712
MID,Midlands,2020-04-15,10769998.456679951,14105,3258,605,173,511.14285714285717,159.71428571428572,4.74598821159373,1.4829555116159279
MID,Midlands,2020-04-16,10769998.456679951,14882,3379,777,121,539.5714285714286,153.85714285714286,5.009948986917138,1.4285716332829643
MID,Midlands,2020-04-17,10769998.456679951,15584,3537,702,158,563.5714285714286,153.42857142857144,5.232790244476598,1.4245923251122599
MID,Midlands,2020-04-18,10769998.456679951,16329,3682,745,145,609.2857142857142,149.42857142857144,5.657249782685092,1.3874521155190167
MID,Midlands,2020-04-19,10769998.456679951,16916,3811,587,129,628.2857142857143,144.57142857142858,5.833665778252997,1.3423532895843642
MID,Midlands,2020-04-20,10769998.456679951,17507,3950,591,139,648.2857142857143,143.85714285714286,6.019366826219214,1.3357211092998564
MID,Midlands,2020-04-21,10769998.456679951,18221,4068,714,118,674.4285714285714,140.42857142857142,6.262104624632197,1.3038866439342192
MID,Midlands,2020-04-22,10769998.456679951,19134,4174,913,106,718.4285714285714,130.85714285714286,6.670646930157873,1.215015428121816
MID,Midlands,2020-04-23,10769998.456679951,19957,4308,823,134,725,132.71428571428572,6.731662988775343,1.2322590968615357
MID,Midlands,2020-04-24,10769998.456679951,20735,4416,778,108,735.8571428571429,125.57142857142857,6.8324721290998625,1.1659372940164585
MID,Midlands,2020-04-25,10769998.456679951,21366,4530,631,114,719.5714285714286,121.14285714285714,6.681258418613084,1.1248177762525104
MID,Midlands,2020-04-26,10769998.456679951,21926,4656,560,126,715.7142857142858,120.71428571428572,6.645444645076743,1.120838468081806
